run_id,T1,d1,th1,br1,d2,th2,br2
0,0.5,0.0,0.5,0.5,-45.0,0.0,0.0
1,0.5,-22.5,1.0,1.0,-22.5,0.0,0.0
2,0.5,22.5,0.0,3.0,0.0,0.0,0.5
3,0.5,-45.0,0.5,6.0,0.0,0.5,0.5
4,0.5,22.5,1.0,0.0,22.5,0.5,1.0
5,0.5,-22.5,0.0,0.5,45.0,0.5,1.0
6,0.5,45.0,0.5,1.0,-45.0,0.5,3.0
7,0.5,-45.0,1.0,3.0,-45.0,1.0,3.0
8,0.5,0.0,0.0,10.0,-22.5,1.0,6.0
9,0.5,-22.5,0.5,0.0,0.0,1.0,6.0
10,0.5,45.0,1.0,0.5,0.0,0.0,10.0
11,0.5,-45.0,0.0,1.0,22.5,0.0,10.0
12,0.5,22.5,0.5,6.0,45.0,0.0,0.0
13,0.5,0.0,1.0,10.0,-45.0,0.0,0.0
14,0.5,45.0,0.0,0.0,-45.0,0.5,0.0
15,0.5,-45.0,0.5,0.5,-22.5,0.5,0.5
16,0.5,0.0,1.0,3.0,0.0,0.5,0.5
17,0.5,-22.5,0.0,6.0,22.5,0.5,1.0
18,0.5,22.5,0.5,10.0,22.5,1.0,1.0
19,0.5,-45.0,1.0,0.0,45.0,1.0,3.0
20,0.5,22.5,0.0,1.0,-45.0,1.0,3.0
21,0.5,0.0,0.5,3.0,-22.5,0.0,6.0
22,0.5,45.0,1.0,6.0,-22.5,0.0,6.0
23,0.5,-45.0,0.0,10.0,0.0,0.0,10.0
24,0.5,0.0,0.5,0.0,22.5,0.0,10.0
25,0.5,-22.5,1.0,0.5,22.5,0.5,0.0
26,0.5,45.0,0.0,1.0,45.0,0.5,0.0
27,0.5,-22.5,0.5,3.0,-45.0,0.5,0.0
28,0.5,22.5,1.0,6.0,-22.5,0.5,0.5
29,0.5,0.0,0.0,0.0,-22.5,1.0,0.5
30,0.5,45.0,0.5,0.5,0.0,1.0,1.0
31,0.5,-45.0,1.0,1.0,22.5,1.0,1.0
32,0.5,0.0,0.0,3.0,22.5,0.0,3.0
33,0.5,-22.5,0.5,10.0,45.0,0.0,3.0
34,0.5,22.5,1.0,0.0,-45.0,0.0,6.0
35,0.5,-45.0,0.0,0.5,-22.5,0.0,6.0
36,0.5,22.5,0.5,1.0,-22.5,0.5,10.0
37,0.5,-22.5,1.0,6.0,0.0,0.5,10.0
38,0.5,45.0,0.0,10.0,22.5,0.5,0.0
39,0.5,-45.0,0.5,0.0,45.0,0.5,0.0
40,0.5,0.0,1.0,0.5,45.0,1.0,0.5
41,0.5,-22.5,0.0,3.0,-45.0,1.0,0.5
42,0.5,45.0,0.5,6.0,-22.5,1.0,0.5
43,0.5,-22.5,1.0,10.0,0.0,0.0,1.0
44,0.5,22.5,0.0,0.5,0.0,0.0,1.0
45,0.5,0.0,0.5,1.0,22.5,0.0,3.0
46,0.5,45.0,1.0,3.0,45.0,0.0,3.0
47,0.5,-45.0,0.0,6.0,45.0,0.5,6.0
48,0.5,0.0,0.5,10.0,-45.0,0.5,6.0
49,0.5,-22.5,1.0,0.0,-45.0,0.5,10.0
